,LIME,EDDT,OMDB,CYYZ,ZBAA,SAEZ,VIDP,MMMX,LFPG,EDDF,EDDM,KJFK,LEMD,RJAA,SBGL,LTFM,ZSPD,CYVR,LDZA,EBBR,LKPR,LGAV,FACT,EETN,EFRO,EFHK,BIKF,EHEH,LPPT,ESSA,LFQQ,EIDW,EGPH
LIME,0.0,809.2271754296073,4634.411696551434,6671.136708671728,8032.26904485344,11262.454460082292,6082.706185320692,9842.13188680207,654.1798188036887,492.550415734113,337.8149533285702,6477.675550240074,1220.367427968824,9698.334104120337,9300.145436141222,1608.6007846928012,9081.345720298381,8524.300246721084,494.3715279576347,697.6241308496129,598.695349516173,1457.2765076695869,8900.787773541293,1829.3731684707757,2510.9812975034515,1912.2938553387621,2826.491908642492,716.9528370522909,1724.0154738241492,1647.7243899240607,731.8948304163779,1433.663567238871,1461.4919162938756
EDDT,809.2271754296073,0.0,4634.536188630778,6477.895440186134,7357.370941408385,11933.024922521272,5785.915771305621,9713.650891230824,850.4974971095637,431.6826244968808,479.5750967765883,6367.419669376641,1853.640992836451,8941.163890156917,9999.899573136834,1712.5684114372132,8428.152127029933,7979.429067098594,784.5721209488278,633.1798423077714,281.576913555292,1823.2230335509435,9635.66209352229,1043.7146044590377,1701.8548750228817,1118.8430222369009,2379.1423258300797,554.9586303035887,2302.6857424820937,838.7723740907484,737.3544487142678,1308.440821698761,1142.604257606154
OMDB,4634.411696551434,4634.536188630778,0.0,11080.592571500489,5846.428408163956,13675.498953376862,2183.190603769457,14328.390980757462,5238.30373722851,4842.872064752151,4563.68638327735,11000.82939708662,5648.573067280119,7978.6421393820765,11884.360300095565,3027.9011773987722,6448.573340149029,11735.171711494506,4162.586440529364,5147.156165772344,4463.278821580964,3271.3092464029237,7644.498781549268,4471.733222742804,5027.306459147683,4537.025110362885,6885.950773003389,5102.345397401615,6137.549256169119,4784.718435844448,5233.556863398388,5918.191105076748,5776.784700011543
CYYZ,6671.136708671728,6477.895440186134,11080.592571500489,0.0,10560.263711728265,8985.871186138354,11639.223104050201,3247.890977992751,6018.511701618143,6342.662219553331,6639.638079367699,587.4088954268707,6058.631933989723,10299.375959386833,8271.186132408277,8171.274964889148,11414.11558758609,3346.065262820104,7071.777341214486,6043.2341631455665,6682.817209516884,8127.399159836934,13136.631844292497,6650.662663103135,6243.416783834656,6598.71606358994,4202.689344520942,6069.742465228985,5739.078245285105,6311.706893929508,5973.892370679363,5259.66456365284,5342.430556810266
ZBAA,8032.26904485344,7357.370941408385,5846.428408163956,10560.263711728265,0.0,19289.70928642004,3811.22316900493,12435.185662210233,8189.724353071151,7788.395209245619,7721.985707506109,10977.61138682235,9206.378510653298,2133.3180240322217,17318.624718116444,7061.75886204329,1098.8391881220052,8491.592942617246,7637.516242212898,7945.907748157385,7461.550939385754,7607.430542904929,12967.734897763023,6357.094712899396,6013.908578937793,6308.537771925007,7870.884193010363,7858.784279958065,9657.682879314776,6691.864080722933,8042.99692176469,8268.747197889683,7936.25672217657
SAEZ,11262.454460082292,11933.024922521272,13675.498953376862,8985.871186138354,19289.70928642004,0.0,15794.490572393017,7396.77973611544,11100.067083107158,11502.137750607373,11571.029543749757,8534.711892841717,10084.891062660701,18297.19994521465,1995.428353470573,12266.824206187948,19605.48726466171,11306.011894863244,11662.142744355435,11343.810900959297,11830.92337423204,11725.05562218717,6886.082041979985,12932.640473630083,13282.900559270385,12981.387744901565,11460.844970957083,11430.931607617464,9632.30052917482,12598.548940741373,11246.712767060582,11025.405820274522,11358.623493704585
VIDP,6082.706185320692,5785.915771305621,2183.190603769457,11639.223104050201,3811.22316900493,15794.490572393017,0.0,14662.708439597296,6565.92854943909,6121.185112535329,5899.979912189503,11754.94829850792,7255.328214906565,5909.250123279566,14063.511167522962,4566.047060442222,4292.294164011961,11138.384837166739,5589.209484397878,6399.817544030502,5714.970423703678,4983.851376266188,9282.845350520629,5200.6264450305825,5439.118104243794,5223.847444426262,7593.777972803409,6331.400341379829,7767.803301105655,5583.875141564338,6501.080434257892,7074.36258815461,6836.246415386642
MMMX,9842.13188680207,9713.650891230824,14328.390980757462,3247.890977992751,12435.185662210233,7396.77973611544,14662.708439597296,0.0,9198.923534624388,9551.980932636412,9844.86446381779,3365.6070797424704,9066.890918984103,11253.545374395047,7665.076602134776,11389.29648462006,12896.888950685934,3944.571933641011,10270.57949825156,9248.791253224706,9907.578033808217,11295.07456624003,13711.343976959879,9887.012309094367,9429.19591909452,9830.89999106367,7447.576134836068,9282.302300217629,8664.536583495246,9555.32776316363,9172.519686277623,8465.097546487645,8573.011598267407
LFPG,654.1798188036887,850.4974971095637,5238.30373722851,6018.511701618143,8189.724353071151,11100.067083107158,6565.92854943909,9198.923534624388,0.0,449.00506895345995,681.5692933331298,5833.386425117882,1064.514287652328,9709.31227814645,9184.123131785209,2213.88650722904,9266.538821703734,7924.983796384183,1079.12295434704,251.42649654422516,852.6058359792816,2108.8935232724316,9363.399547331674,1837.8392888325443,2358.800861619531,1895.5582344575273,2225.1176543641695,337.5067385741307,1469.9632862919395,1539.1555178390888,177.29972762352907,784.9693369031335,868.6768639079258
EDDF,492.550415734113,431.6826244968808,4842.872064752151,6342.662219553331,7788.395209245619,11502.137750607373,6121.185112535329,9551.980932636412,449.00506895345995,0.0,299.0736493547062,6189.1542734461045,1422.050572145159,9366.014476753255,9568.283601551813,1837.858012568955,8857.834873324387,8062.180754267541,734.44155732098,304.70667836915743,406.27801971921986,1815.8370182307754,9393.055953949077,1467.8755620952131,2079.668281738598,1537.9389925099097,2379.55963806095,274.34672759363383,1873.84706028188,1222.987175365273,392.7983156454291,1086.8940196113897,1032.8584656977316
